id,username,gender,avgsales,repeated,tenure
10086,James Cutney,male,200,TRUE,38.4
10087,John Smith,male,300,FALSE,51.6
10088,Susan Sanderson,female,200,FALSE,15.6
10089,Bree Landy,female,NA,FALSE,1.2
10090,James Cutney,male,200,TRUE,38.4
10091,John Smith,male,300,FALSE,51.6
10092,Susan Sanderson,female,200,FALSE,15.6
10093,Bree Landy,female,NA,FALSE,1.2
10094,James Cutney,male,200,TRUE,38.4
10095,John Smith,male,300,FALSE,51.6
10096,Susan Sanderson,female,200,FALSE,15.6
10097,Bree Landy,female,NA,FALSE,1.2
10098,James Cutney,male,200,TRUE,38.4
10099,John Smith,male,300,FALSE,51.6
10100,Susan Sanderson,female,200,FALSE,15.6
10101,Bree Landy,female,NA,FALSE,1.2
10102,James Cutney,male,200,TRUE,38.4
10103,John Smith,male,300,FALSE,51.6
10104,Susan Sanderson,female,200,FALSE,15.6
10105,Bree Landy,female,NA,FALSE,1.2
10106,James Cutney,male,200,TRUE,38.4
10107,John Smith,male,300,FALSE,51.6
10108,Susan Sanderson,female,200,FALSE,15.6
10109,Bree Landy,female,NA,FALSE,1.2
10110,James Cutney,male,200,TRUE,38.4
10111,John Smith,male,300,FALSE,51.6
10112,Susan Sanderson,female,200,FALSE,15.6
10113,Bree Landy,female,NA,FALSE,1.2
10114,James Cutney,male,200,TRUE,38.4
10115,John Smith,male,300,FALSE,51.6
10116,Susan Sanderson,female,200,FALSE,15.6
10117,Bree Landy,female,NA,FALSE,1.2
10118,James Cutney,male,200,TRUE,38.4
10119,John Smith,male,300,FALSE,51.6
10120,Susan Sanderson,female,200,FALSE,15.6
10121,Bree Landy,female,NA,FALSE,1.2
10122,James Cutney,male,200,TRUE,38.4
10123,John Smith,male,300,FALSE,51.6
10124,Susan Sanderson,female,200,FALSE,15.6
10125,Bree Landy,female,NA,FALSE,1.2
10126,James Cutney,male,200,TRUE,38.4
10127,John Smith,male,300,FALSE,51.6
10128,Susan Sanderson,female,200,FALSE,15.6
10129,Bree Landy,female,NA,FALSE,1.2
10130,James Cutney,male,200,TRUE,38.4
10131,John Smith,male,300,FALSE,51.6
10132,Susan Sanderson,female,200,FALSE,15.6
10133,Bree Landy,female,NA,FALSE,1.2
10134,James Cutney,male,200,TRUE,38.4
10135,John Smith,male,300,FALSE,51.6
10136,Susan Sanderson,female,200,FALSE,15.6
10137,Bree Landy,female,NA,FALSE,1.2
10138,James Cutney,male,200,TRUE,38.4
10139,John Smith,male,300,FALSE,51.6
10140,Susan Sanderson,female,200,FALSE,15.6
10141,Bree Landy,female,NA,FALSE,1.2
10142,James Cutney,male,200,TRUE,38.4
10143,John Smith,male,300,FALSE,51.6
10144,Susan Sanderson,female,200,FALSE,15.6
10145,Bree Landy,female,NA,FALSE,1.2
10146,James Cutney,male,200,TRUE,38.4
10147,John Smith,male,300,FALSE,51.6
10148,Susan Sanderson,female,200,FALSE,15.6
10149,Bree Landy,female,NA,FALSE,1.2
10150,James Cutney,male,200,TRUE,38.4
10151,John Smith,male,300,FALSE,51.6
10152,Susan Sanderson,female,200,FALSE,15.6
10153,Bree Landy,female,NA,FALSE,1.2
10154,James Cutney,male,200,TRUE,38.4
10155,John Smith,male,300,FALSE,51.6
10156,Susan Sanderson,female,200,FALSE,15.6
10157,Bree Landy,female,NA,FALSE,1.2
10158,James Cutney,male,200,TRUE,38.4
10159,John Smith,male,300,FALSE,51.6
10160,Susan Sanderson,female,200,FALSE,15.6
10161,Bree Landy,female,NA,FALSE,1.2
10162,James Cutney,male,200,TRUE,38.4
10163,John Smith,male,300,FALSE,51.6
10164,Susan Sanderson,female,200,FALSE,15.6
10165,Bree Landy,female,NA,FALSE,1.2
10166,James Cutney,male,200,TRUE,38.4
10167,John Smith,male,300,FALSE,51.6
10168,Susan Sanderson,female,200,FALSE,15.6
10169,Bree Landy,female,NA,FALSE,1.2
10170,James Cutney,male,200,TRUE,38.4
10171,John Smith,male,300,FALSE,51.6
10172,Susan Sanderson,female,200,FALSE,15.6
10173,Bree Landy,female,NA,FALSE,1.2
10174,James Cutney,male,200,TRUE,38.4
10175,John Smith,male,300,FALSE,51.6
10176,Susan Sanderson,female,200,FALSE,15.6
10177,Bree Landy,female,NA,FALSE,1.2
10178,James Cutney,male,200,TRUE,38.4
10179,John Smith,male,300,FALSE,51.6
10180,Susan Sanderson,female,200,FALSE,15.6
10181,Bree Landy,female,NA,FALSE,1.2
10182,James Cutney,male,200,TRUE,38.4
10183,John Smith,male,300,FALSE,51.6
10184,Susan Sanderson,female,200,FALSE,15.6
10185,Bree Landy,female,NA,FALSE,1.2
10186,James Cutney,male,200,TRUE,38.4
10187,John Smith,male,300,FALSE,51.6
10188,Susan Sanderson,female,200,FALSE,15.6
10189,Bree Landy,female,NA,FALSE,1.2
10190,James Cutney,male,200,TRUE,38.4
10191,John Smith,male,300,FALSE,51.6
10192,Susan Sanderson,female,200,FALSE,15.6
10193,Bree Landy,female,NA,FALSE,1.2
10194,James Cutney,male,200,TRUE,38.4
10195,John Smith,male,300,FALSE,51.6
10196,Susan Sanderson,female,200,FALSE,15.6
10197,Bree Landy,female,NA,FALSE,1.2
10198,James Cutney,male,200,TRUE,38.4
10199,John Smith,male,300,FALSE,51.6
10200,Susan Sanderson,female,200,FALSE,15.6
10201,Bree Landy,female,NA,FALSE,1.2
10202,James Cutney,male,200,TRUE,38.4
10203,John Smith,male,300,FALSE,51.6
10204,Susan Sanderson,female,200,FALSE,15.6
10205,Bree Landy,female,NA,FALSE,1.2
10206,James Cutney,male,200,TRUE,38.4
10207,John Smith,male,300,FALSE,51.6
10208,Susan Sanderson,female,200,FALSE,15.6
10209,Bree Landy,female,NA,FALSE,1.2
10210,James Cutney,male,200,TRUE,38.4
10211,John Smith,male,300,FALSE,51.6
10212,Susan Sanderson,female,200,FALSE,15.6
10213,Bree Landy,female,NA,FALSE,1.2
10214,James Cutney,male,200,TRUE,38.4
10215,John Smith,male,300,FALSE,51.6
10216,Susan Sanderson,female,200,FALSE,15.6
10217,Bree Landy,female,NA,FALSE,1.2
10218,James Cutney,male,200,TRUE,38.4
10219,John Smith,male,300,FALSE,51.6
10220,Susan Sanderson,female,200,FALSE,15.6
10221,Bree Landy,female,NA,FALSE,1.2
10222,James Cutney,male,200,TRUE,38.4
10223,John Smith,male,300,FALSE,51.6
10224,Susan Sanderson,female,200,FALSE,15.6
10225,Bree Landy,female,NA,FALSE,1.2
10226,James Cutney,male,200,TRUE,38.4
10227,John Smith,male,300,FALSE,51.6
10228,Susan Sanderson,female,200,FALSE,15.6
10229,Bree Landy,female,NA,FALSE,1.2
10230,James Cutney,male,200,TRUE,38.4
10231,John Smith,male,300,FALSE,51.6
10232,Susan Sanderson,female,200,FALSE,15.6
10233,Bree Landy,female,NA,FALSE,1.2
10234,James Cutney,male,200,TRUE,38.4
10235,John Smith,male,300,FALSE,51.6
10236,Susan Sanderson,female,200,FALSE,15.6
10237,Bree Landy,female,NA,FALSE,1.2
10238,James Cutney,male,200,TRUE,38.4
10239,John Smith,male,300,FALSE,51.6
10240,Susan Sanderson,female,200,FALSE,15.6
10241,Bree Landy,female,NA,FALSE,1.2
10242,James Cutney,male,200,TRUE,38.4
10243,John Smith,male,300,FALSE,51.6
10244,Susan Sanderson,female,200,FALSE,15.6
10245,Bree Landy,female,NA,FALSE,1.2
10246,James Cutney,male,200,TRUE,38.4
10247,John Smith,male,300,FALSE,51.6
10248,Susan Sanderson,female,200,FALSE,15.6
10249,Bree Landy,female,NA,FALSE,1.2
10250,James Cutney,male,200,TRUE,38.4
10251,John Smith,male,300,FALSE,51.6
10252,Susan Sanderson,female,200,FALSE,15.6
10253,Bree Landy,female,NA,FALSE,1.2
10254,James Cutney,male,200,TRUE,38.4
10255,John Smith,male,300,FALSE,51.6
10256,Susan Sanderson,female,200,FALSE,15.6
10257,Bree Landy,female,NA,FALSE,1.2
10258,James Cutney,male,200,TRUE,38.4
10259,John Smith,male,300,FALSE,51.6
10260,Susan Sanderson,female,200,FALSE,15.6
10261,Bree Landy,female,NA,FALSE,1.2
10262,James Cutney,male,200,TRUE,38.4
10263,John Smith,male,300,FALSE,51.6
10264,Susan Sanderson,female,200,FALSE,15.6
10265,Bree Landy,female,NA,FALSE,1.2
10266,James Cutney,male,200,TRUE,38.4
10267,John Smith,male,300,FALSE,51.6
10268,Susan Sanderson,female,200,FALSE,15.6
10269,Bree Landy,female,NA,FALSE,1.2
10270,James Cutney,male,200,TRUE,38.4
10271,John Smith,male,300,FALSE,51.6
10272,Susan Sanderson,female,200,FALSE,15.6
10273,Bree Landy,female,NA,FALSE,1.2
10274,James Cutney,male,200,TRUE,38.4
10275,John Smith,male,300,FALSE,51.6
10276,Susan Sanderson,female,200,FALSE,15.6
10277,Bree Landy,female,NA,FALSE,1.2
10278,James Cutney,male,200,TRUE,38.4
10279,John Smith,male,300,FALSE,51.6
10280,Susan Sanderson,female,200,FALSE,15.6
10281,Bree Landy,female,NA,FALSE,1.2
10282,James Cutney,male,200,TRUE,38.4
10283,John Smith,male,300,FALSE,51.6
10284,Susan Sanderson,female,200,FALSE,15.6
10285,Bree Landy,female,NA,FALSE,1.2
10286,James Cutney,male,200,TRUE,38.4
10287,John Smith,male,300,FALSE,51.6
10288,Susan Sanderson,female,200,FALSE,15.6
10289,Bree Landy,female,NA,FALSE,1.2
10290,James Cutney,male,200,TRUE,38.4
10291,John Smith,male,300,FALSE,51.6
10292,Susan Sanderson,female,200,FALSE,15.6
10293,Bree Landy,female,NA,FALSE,1.2
10294,James Cutney,male,200,TRUE,38.4
10295,John Smith,male,300,FALSE,51.6
10296,Susan Sanderson,female,200,FALSE,15.6
10297,Bree Landy,female,NA,FALSE,1.2
10298,James Cutney,male,200,TRUE,38.4
10299,John Smith,male,300,FALSE,51.6
10300,Susan Sanderson,female,200,FALSE,15.6
10301,Bree Landy,female,NA,FALSE,1.2
10302,James Cutney,male,200,TRUE,38.4
10303,John Smith,male,300,FALSE,51.6
10304,Susan Sanderson,female,200,FALSE,15.6
10305,Bree Landy,female,NA,FALSE,1.2
10306,James Cutney,male,200,TRUE,38.4
10307,John Smith,male,300,FALSE,51.6
10308,Susan Sanderson,female,200,FALSE,15.6
10309,Bree Landy,female,NA,FALSE,1.2
10310,James Cutney,male,200,TRUE,38.4
10311,John Smith,male,300,FALSE,51.6
10312,Susan Sanderson,female,200,FALSE,15.6
10313,Bree Landy,female,NA,FALSE,1.2
10314,James Cutney,male,200,TRUE,38.4
10315,John Smith,male,300,FALSE,51.6
10316,Susan Sanderson,female,200,FALSE,15.6
10317,Bree Landy,female,NA,FALSE,1.2
10318,James Cutney,male,200,TRUE,38.4
10319,John Smith,male,300,FALSE,51.6
10320,Susan Sanderson,female,200,FALSE,15.6
10321,Bree Landy,female,NA,FALSE,1.2
10322,James Cutney,male,200,TRUE,38.4
10323,John Smith,male,300,FALSE,51.6
10324,Susan Sanderson,female,200,FALSE,15.6
10325,Bree Landy,female,NA,FALSE,1.2
10326,James Cutney,male,200,TRUE,38.4
10327,John Smith,male,300,FALSE,51.6
10328,Susan Sanderson,female,200,FALSE,15.6
10329,Bree Landy,female,NA,FALSE,1.2
10330,James Cutney,male,200,TRUE,38.4
10331,John Smith,male,300,FALSE,51.6
10332,Susan Sanderson,female,200,FALSE,15.6
10333,Bree Landy,female,NA,FALSE,1.2
10334,James Cutney,male,200,TRUE,38.4
10335,John Smith,male,300,FALSE,51.6
10336,Susan Sanderson,female,200,FALSE,15.6
10337,Bree Landy,female,NA,FALSE,1.2
10338,James Cutney,male,200,TRUE,38.4
10339,John Smith,male,300,FALSE,51.6
10340,Susan Sanderson,female,200,FALSE,15.6
10341,Bree Landy,female,NA,FALSE,1.2
10342,James Cutney,male,200,TRUE,38.4
10343,John Smith,male,300,FALSE,51.6
10344,Susan Sanderson,female,200,FALSE,15.6
10345,Bree Landy,female,NA,FALSE,1.2
10346,James Cutney,male,200,TRUE,38.4
10347,John Smith,male,300,FALSE,51.6
10348,Susan Sanderson,female,200,FALSE,15.6
10349,Bree Landy,female,NA,FALSE,1.2
10350,James Cutney,male,200,TRUE,38.4
10351,John Smith,male,300,FALSE,51.6
10352,Susan Sanderson,female,200,FALSE,15.6
10353,Bree Landy,female,NA,FALSE,1.2
10354,James Cutney,male,200,TRUE,38.4
10355,John Smith,male,300,FALSE,51.6
10356,Susan Sanderson,female,200,FALSE,15.6
10357,Bree Landy,female,NA,FALSE,1.2
10358,James Cutney,male,200,TRUE,38.4
10359,John Smith,male,300,FALSE,51.6
10360,Susan Sanderson,female,200,FALSE,15.6
10361,Bree Landy,female,NA,FALSE,1.2
10362,James Cutney,male,200,TRUE,38.4
10363,John Smith,male,300,FALSE,51.6
10364,Susan Sanderson,female,200,FALSE,15.6
10365,Bree Landy,female,NA,FALSE,1.2
10366,James Cutney,male,200,TRUE,38.4
10367,John Smith,male,300,FALSE,51.6
10368,Susan Sanderson,female,200,FALSE,15.6
10369,Bree Landy,female,NA,FALSE,1.2
10370,James Cutney,male,200,TRUE,38.4
10371,John Smith,male,300,FALSE,51.6
10372,Susan Sanderson,female,200,FALSE,15.6
10373,Bree Landy,female,NA,FALSE,1.2
10374,James Cutney,male,200,TRUE,38.4
10375,John Smith,male,300,FALSE,51.6
10376,Susan Sanderson,female,200,FALSE,15.6
10377,Bree Landy,female,NA,FALSE,1.2
10378,James Cutney,male,200,TRUE,38.4
10379,John Smith,male,300,FALSE,51.6
10380,Susan Sanderson,female,200,FALSE,15.6
10381,Bree Landy,female,NA,FALSE,1.2
10382,James Cutney,male,200,TRUE,38.4
10383,John Smith,male,300,FALSE,51.6
10384,Susan Sanderson,female,200,FALSE,15.6
10385,Bree Landy,female,NA,FALSE,1.2
10386,James Cutney,male,200,TRUE,38.4
10387,John Smith,male,300,FALSE,51.6
10388,Susan Sanderson,female,200,FALSE,15.6
10389,Bree Landy,female,NA,FALSE,1.2
10390,James Cutney,male,200,TRUE,38.4
10391,John Smith,male,300,FALSE,51.6
10392,Susan Sanderson,female,200,FALSE,15.6
10393,Bree Landy,female,NA,FALSE,1.2
10394,James Cutney,male,200,TRUE,38.4
10395,John Smith,male,300,FALSE,51.6
10396,Susan Sanderson,female,200,FALSE,15.6
10397,Bree Landy,female,NA,FALSE,1.2
10398,James Cutney,male,200,TRUE,38.4
10399,John Smith,male,300,FALSE,51.6
10400,Susan Sanderson,female,200,FALSE,15.6
10401,Bree Landy,female,NA,FALSE,1.2
10402,James Cutney,male,200,TRUE,38.4
10403,John Smith,male,300,FALSE,51.6
10404,Susan Sanderson,female,200,FALSE,15.6
10405,Bree Landy,female,NA,FALSE,1.2
10406,James Cutney,male,200,TRUE,38.4
10407,John Smith,male,300,FALSE,51.6
10408,Susan Sanderson,female,200,FALSE,15.6
10409,Bree Landy,female,NA,FALSE,1.2
10410,James Cutney,male,200,TRUE,38.4
10411,John Smith,male,300,FALSE,51.6
10412,Susan Sanderson,female,200,FALSE,15.6
10413,Bree Landy,female,NA,FALSE,1.2
10414,James Cutney,male,200,TRUE,38.4
10415,John Smith,male,300,FALSE,51.6
10416,Susan Sanderson,female,200,FALSE,15.6
10417,Bree Landy,female,NA,FALSE,1.2
10418,James Cutney,male,200,TRUE,38.4
10419,John Smith,male,300,FALSE,51.6
10420,Susan Sanderson,female,200,FALSE,15.6
10421,Bree Landy,female,NA,FALSE,1.2
10422,James Cutney,male,200,TRUE,38.4
10423,John Smith,male,300,FALSE,51.6
10424,Susan Sanderson,female,200,FALSE,15.6
10425,Bree Landy,female,NA,FALSE,1.2
10426,James Cutney,male,200,TRUE,38.4
10427,John Smith,male,300,FALSE,51.6
10428,Susan Sanderson,female,200,FALSE,15.6
10429,Bree Landy,female,NA,FALSE,1.2
10430,James Cutney,male,200,TRUE,38.4
10431,John Smith,male,300,FALSE,51.6
10432,Susan Sanderson,female,200,FALSE,15.6
10433,Bree Landy,female,NA,FALSE,1.2
10434,James Cutney,male,200,TRUE,38.4
10435,John Smith,male,300,FALSE,51.6
10436,Susan Sanderson,female,200,FALSE,15.6
10437,Bree Landy,female,NA,FALSE,1.2
10438,James Cutney,male,200,TRUE,38.4
10439,John Smith,male,300,FALSE,51.6
10440,Susan Sanderson,female,200,FALSE,15.6
10441,Bree Landy,female,NA,FALSE,1.2
10442,James Cutney,male,200,TRUE,38.4
10443,John Smith,male,300,FALSE,51.6
10444,Susan Sanderson,female,200,FALSE,15.6
10445,Bree Landy,female,NA,FALSE,1.2
10446,James Cutney,male,200,TRUE,38.4
10447,John Smith,male,300,FALSE,51.6
10448,Susan Sanderson,female,200,FALSE,15.6
10449,Bree Landy,female,NA,FALSE,1.2
10450,James Cutney,male,200,TRUE,38.4
10451,John Smith,male,300,FALSE,51.6
10452,Susan Sanderson,female,200,FALSE,15.6
10453,Bree Landy,female,NA,FALSE,1.2
10454,James Cutney,male,200,TRUE,38.4
10455,John Smith,male,300,FALSE,51.6
10456,Susan Sanderson,female,200,FALSE,15.6
10457,Bree Landy,female,NA,FALSE,1.2
10458,James Cutney,male,200,TRUE,38.4
10459,John Smith,male,300,FALSE,51.6
10460,Susan Sanderson,female,200,FALSE,15.6
10461,Bree Landy,female,NA,FALSE,1.2
10462,James Cutney,male,200,TRUE,38.4
10463,John Smith,male,300,FALSE,51.6
10464,Susan Sanderson,female,200,FALSE,15.6
10465,Bree Landy,female,NA,FALSE,1.2
10466,James Cutney,male,200,TRUE,38.4
10467,John Smith,male,300,FALSE,51.6
10468,Susan Sanderson,female,200,FALSE,15.6
10469,Bree Landy,female,NA,FALSE,1.2
10470,James Cutney,male,200,TRUE,38.4
10471,John Smith,male,300,FALSE,51.6
10472,Susan Sanderson,female,200,FALSE,15.6
10473,Bree Landy,female,NA,FALSE,1.2
10474,James Cutney,male,200,TRUE,38.4
10475,John Smith,male,300,FALSE,51.6
10476,Susan Sanderson,female,200,FALSE,15.6
10477,Bree Landy,female,NA,FALSE,1.2
10478,James Cutney,male,200,TRUE,38.4
10479,John Smith,male,300,FALSE,51.6
10480,Susan Sanderson,female,200,FALSE,15.6
10481,Bree Landy,female,NA,FALSE,1.2
10482,James Cutney,male,200,TRUE,38.4
10483,John Smith,male,300,FALSE,51.6
10484,Susan Sanderson,female,200,FALSE,15.6
10485,Bree Landy,female,NA,FALSE,1.2
10486,James Cutney,male,200,TRUE,38.4
10487,John Smith,male,300,FALSE,51.6
10488,Susan Sanderson,female,200,FALSE,15.6
10489,Bree Landy,female,NA,FALSE,1.2
10490,James Cutney,male,200,TRUE,38.4
10491,John Smith,male,300,FALSE,51.6
10492,Susan Sanderson,female,200,FALSE,15.6
10493,Bree Landy,female,NA,FALSE,1.2
10494,James Cutney,male,200,TRUE,38.4
10495,John Smith,male,300,FALSE,51.6
10496,Susan Sanderson,female,200,FALSE,15.6
10497,Bree Landy,female,NA,FALSE,1.2
10498,James Cutney,male,200,TRUE,38.4
10499,John Smith,male,300,FALSE,51.6
10500,Susan Sanderson,female,200,FALSE,15.6
10501,Bree Landy,female,NA,FALSE,1.2
10502,James Cutney,male,200,TRUE,38.4
10503,John Smith,male,300,FALSE,51.6
10504,Susan Sanderson,female,200,FALSE,15.6
10505,Bree Landy,female,NA,FALSE,1.2
10506,James Cutney,male,200,TRUE,38.4
10507,John Smith,male,300,FALSE,51.6
10508,Susan Sanderson,female,200,FALSE,15.6
10509,Bree Landy,female,NA,FALSE,1.2
10510,James Cutney,male,200,TRUE,38.4
10511,John Smith,male,300,FALSE,51.6
10512,Susan Sanderson,female,200,FALSE,15.6
10513,Bree Landy,female,NA,FALSE,1.2
10514,James Cutney,male,200,TRUE,38.4
10515,John Smith,male,300,FALSE,51.6
10516,Susan Sanderson,female,200,FALSE,15.6
10517,Bree Landy,female,NA,FALSE,1.2
10518,James Cutney,male,200,TRUE,38.4
10519,John Smith,male,300,FALSE,51.6
10520,Susan Sanderson,female,200,FALSE,15.6
10521,Bree Landy,female,NA,FALSE,1.2
10522,James Cutney,male,200,TRUE,38.4
10523,John Smith,male,300,FALSE,51.6
10524,Susan Sanderson,female,200,FALSE,15.6
10525,Bree Landy,female,NA,FALSE,1.2
10526,James Cutney,male,200,TRUE,38.4
10527,John Smith,male,300,FALSE,51.6
10528,Susan Sanderson,female,200,FALSE,15.6
10529,Bree Landy,female,NA,FALSE,1.2
10530,James Cutney,male,200,TRUE,38.4
10531,John Smith,male,300,FALSE,51.6
10532,Susan Sanderson,female,200,FALSE,15.6
10533,Bree Landy,female,NA,FALSE,1.2
10534,James Cutney,male,200,TRUE,38.4
10535,John Smith,male,300,FALSE,51.6
10536,Susan Sanderson,female,200,FALSE,15.6
10537,Bree Landy,female,NA,FALSE,1.2
10538,James Cutney,male,200,TRUE,38.4
10539,John Smith,male,300,FALSE,51.6
10540,Susan Sanderson,female,200,FALSE,15.6
10541,Bree Landy,female,NA,FALSE,1.2
10542,James Cutney,male,200,TRUE,38.4
10543,John Smith,male,300,FALSE,51.6
10544,Susan Sanderson,female,200,FALSE,15.6
10545,Bree Landy,female,NA,FALSE,1.2
10546,James Cutney,male,200,TRUE,38.4
10547,John Smith,male,300,FALSE,51.6
10548,Susan Sanderson,female,200,FALSE,15.6
10549,Bree Landy,female,NA,FALSE,1.2
10550,James Cutney,male,200,TRUE,38.4
10551,John Smith,male,300,FALSE,51.6
10552,Susan Sanderson,female,200,FALSE,15.6
10553,Bree Landy,female,NA,FALSE,1.2
10554,James Cutney,male,200,TRUE,38.4
10555,John Smith,male,300,FALSE,51.6
10556,Susan Sanderson,female,200,FALSE,15.6
10557,Bree Landy,female,NA,FALSE,1.2
10558,James Cutney,male,200,TRUE,38.4
10559,John Smith,male,300,FALSE,51.6
10560,Susan Sanderson,female,200,FALSE,15.6
10561,Bree Landy,female,NA,FALSE,1.2
10562,James Cutney,male,200,TRUE,38.4
10563,John Smith,male,300,FALSE,51.6
10564,Susan Sanderson,female,200,FALSE,15.6
10565,Bree Landy,female,NA,FALSE,1.2
10566,James Cutney,male,200,TRUE,38.4
10567,John Smith,male,300,FALSE,51.6
10568,Susan Sanderson,female,200,FALSE,15.6
10569,Bree Landy,female,NA,FALSE,1.2
10570,James Cutney,male,200,TRUE,38.4
10571,John Smith,male,300,FALSE,51.6
10572,Susan Sanderson,female,200,FALSE,15.6
10573,Bree Landy,female,NA,FALSE,1.2
10574,James Cutney,male,200,TRUE,38.4
10575,John Smith,male,300,FALSE,51.6
10576,Susan Sanderson,female,200,FALSE,15.6
10577,Bree Landy,female,NA,FALSE,1.2
10578,James Cutney,male,200,TRUE,38.4
10579,John Smith,male,300,FALSE,51.6
10580,Susan Sanderson,female,200,FALSE,15.6
10581,Bree Landy,female,NA,FALSE,1.2
10582,James Cutney,male,200,TRUE,38.4
10583,John Smith,male,300,FALSE,51.6
10584,Susan Sanderson,female,200,FALSE,15.6
10585,Bree Landy,female,NA,FALSE,1.2
10586,James Cutney,male,200,TRUE,38.4
10587,John Smith,male,300,FALSE,51.6
10588,Susan Sanderson,female,200,FALSE,15.6
10589,Bree Landy,female,NA,FALSE,1.2
10590,James Cutney,male,200,TRUE,38.4
10591,John Smith,male,300,FALSE,51.6
10592,Susan Sanderson,female,200,FALSE,15.6
10593,Bree Landy,female,NA,FALSE,1.2
10594,James Cutney,male,200,TRUE,38.4
10595,John Smith,male,300,FALSE,51.6
10596,Susan Sanderson,female,200,FALSE,15.6
10597,Bree Landy,female,NA,FALSE,1.2
10598,James Cutney,male,200,TRUE,38.4
10599,John Smith,male,300,FALSE,51.6
10600,Susan Sanderson,female,200,FALSE,15.6
10601,Bree Landy,female,NA,FALSE,1.2
10602,James Cutney,male,200,TRUE,38.4
10603,John Smith,male,300,FALSE,51.6
10604,Susan Sanderson,female,200,FALSE,15.6
10605,Bree Landy,female,NA,FALSE,1.2
10606,James Cutney,male,200,TRUE,38.4
